"cell_id","N","gamma_v","gamma_o","variant","rep","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","train_n","test_n","gbm_wins_auc","twin_delta_auc"
"C1_N500_g0",500,0,0,"outcome",25,0.7776369168357,0.873671600777801,0.0306467953955853,0.748148148148148,0.716666666666667,0.776876267748479,0.872625575288532,0.0334186479433399,0.748148148148148,0.716666666666667,1,1,6.14,0.758,350,150,0,-0.000760649087221066
"C1_N500_g0",500,0,0,"treatment",26,0.701054431461955,0.733542037585485,0.138903978825957,0.785185185185185,0.758333333333333,0.718723282986606,0.72294608935142,0.194019033694193,0.785185185185185,0.758333333333333,0,0,6.122,0.818,350,150,1,0.0176688515246509
"C1_N500_g0",500,0,0,"outcome",27,0.773913043478261,0.801297165571763,-0.0313174439649465,0.740740740740741,0.701666666666667,0.76472049689441,0.761549577600253,0.00227794294301462,0.740740740740741,0.708333333333333,1,0,5.994,0.798,350,150,0,-0.00919254658385094
"C1_N500_g0",500,0,0,"treatment",28,0.854700854700855,1.49998325497217,-0.762191134347255,0.711111111111111,0.678333333333333,0.849156849156849,1.42590552282573,-0.688558992105085,0.711111111111111,0.681666666666667,0,0,6.182,0.778,350,150,0,-0.00554400554400547
"C1_N500_g0",500,0,0,"outcome",29,0.734347442680776,0.759517359246018,-0.386889272373911,0.688888888888889,0.65,0.741181657848324,0.779458452217532,-0.41067983239558,0.688888888888889,0.65,0,0,6.022,0.798,350,150,1,0.00683421516754845
"C1_N500_g0",500,0,0,"treatment",30,0.832552693208431,1.46833423271423,-0.483397439727081,0.792592592592593,0.766666666666667,0.828161592505855,1.43000848816648,-0.445832745890967,0.792592592592593,0.766666666666667,0,0,6.196,0.806,350,150,0,-0.0043911007025762
"C2_N500_g08_09",500,0.8,0.9,"outcome",1,0.85664,1.42781582938803,-0.244510147645643,0.814814814814815,0.791666666666667,0.83424,1.21596730241153,-0.0567902950259736,0.814814814814815,0.791666666666667,0,0,7.912,0.816,350,150,0,-0.0224
"C2_N500_g08_09",500,0.8,0.9,"treatment",2,0.792222222222222,1.47149279012051,-0.823839608839232,0.777777777777778,0.75,0.75,0.916967848331839,-0.0513486101798752,0.777777777777778,0.75,0,1,7.31,0.818,350,150,0,-0.0422222222222223
"C2_N500_g08_09",500,0.8,0.9,"outcome",3,0.827079107505071,1.38150346858602,-0.786120005140862,0.748148148148148,0.716666666666667,0.822008113590264,1.43631573242991,-0.895569119515408,0.748148148148148,0.716666666666667,0,0,7.546,0.814,350,150,0,-0.00507099391480725
"C2_N500_g08_09",500,0.8,0.9,"treatment",4,0.700682382133995,0.428749680123591,0.916771407508414,0.807407407407407,0.783333333333333,0.714640198511166,0.400295476568793,0.864882832656516,0.807407407407407,0.785,0,0,7.336,0.782,350,150,1,0.0139578163771712
"C2_N500_g08_09",500,0.8,0.9,"outcome",5,0.801917989417989,1.04123465645867,0.0781089628347025,0.822222222222222,0.8,0.797949735449735,0.936157888129563,0.204607053985288,0.822222222222222,0.8,1,1,7.642,0.816,350,150,0,-0.00396825396825395
"C2_N500_g08_09",500,0.8,0.9,"treatment",6,0.736388888888889,0.667712528210052,0.416421316552824,0.777777777777778,0.75,0.728888888888889,0.632010229660484,0.468065620158068,0.777777777777778,0.751666666666667,0,0,7.462,0.798,350,150,0,-0.00749999999999995
"C2_N500_g08_09",500,0.8,0.9,"outcome",7,0.79296,0.962984019382788,0.219678958364264,0.814814814814815,0.791666666666667,0.79264,0.852307642747632,0.319586368630094,0.814814814814815,0.791666666666667,1,1,7.354,0.818,350,150,0,-0.000319999999999987
"C2_N500_g08_09",500,0.8,0.9,"treatment",8,0.760313158687142,0.807941535273035,0.421994318263707,0.8,0.775,0.760614272809395,0.765351625561454,0.475000766487327,0.8,0.775,1,0,7.826,0.804,350,150,1,0.000301114122252311
"C2_N500_g08_09",500,0.8,0.9,"outcome",9,0.739671610169492,0.639013322154512,0.111196276994108,0.762962962962963,0.733333333333333,0.738612288135593,0.621679149506499,0.13296785109913,0.762962962962963,0.733333333333333,0,0,8.058,0.812,350,150,0,-0.00105932203389836
"C2_N500_g08_09",500,0.8,0.9,"treatment",10,0.796808207466515,1.18546211988193,-0.321030172927021,0.785185185185185,0.758333333333333,0.790538614990026,1.1770223234668,-0.31460558273498,0.785185185185185,0.758333333333333,1,1,7.394,0.806,350,150,0,-0.00626959247648906
"C2_N500_g08_09",500,0.8,0.9,"outcome",11,0.661388888888889,0.668224675487088,0.259075223744266,0.777777777777778,0.75,0.645555555555556,0.627996672931026,0.316948231111739,0.777777777777778,0.75,0,0,7.906,0.812,350,150,0,-0.0158333333333334
"C2_N500_g08_09",500,0.8,0.9,"treatment",12,0.792049689440994,0.997358239970883,0.0497591466629085,0.740740740740741,0.708333333333333,0.789813664596273,0.955881167673621,0.0688639845754656,0.740740740740741,0.708333333333333,1,1,7.684,0.774,350,150,0,-0.00223602484472041
"C2_N500_g08_09",500,0.8,0.9,"outcome",13,0.80026455026455,1.10407890123944,0.0738643667113038,0.822222222222222,0.8,0.805224867724868,1.08516472518084,0.0587258020182707,0.822222222222222,0.8,1,1,7.584,0.814,350,150,1,0.00496031746031744
"C2_N500_g08_09",500,0.8,0.9,"treatment",14,0.776741776741777,1.0055836164212,0.0532770798675304,0.755555555555556,0.725,0.782439782439782,0.900347470197136,0.0724017941527951,0.755555555555556,0.718333333333333,1,1,7.616,0.784,350,150,1,0.0056980056980056
"C2_N500_g08_09",500,0.8,0.9,"outcome",15,0.849552724315533,1.53552007613243,-0.870222425955091,0.77037037037037,0.741666666666667,0.820547573868257,1.22089445297365,-0.538767228553969,0.77037037037037,0.741666666666667,0,0,7.132,0.808,350,150,0,-0.0290051504472757
"C2_N500_g08_09",500,0.8,0.9,"treatment",16,0.794813337133086,0.909246029979718,0.121046140374227,0.785185185185185,0.758333333333333,0.801652892561983,0.920502217854157,0.112503710940752,0.785185185185185,0.758333333333333,1,1,7.326,0.802,350,150,1,0.00683955542889714
"C2_N500_g08_09",500,0.8,0.9,"outcome",17,0.664459745762712,0.527665256328146,0.535343179677502,0.762962962962963,0.735,0.669226694915254,0.406923603293413,0.620846821569077,0.763703703703704,0.735,0,0,7.348,0.8,350,150,1,0.00476694915254239
"C2_N500_g08_09",500,0.8,0.9,"treatment",18,0.821666666666667,0.84862660552489,0.452792390413035,0.777777777777778,0.755,0.8225,0.835331398078821,0.468835464753003,0.777777777777778,0.748333333333333,1,1,7.428,0.776,350,150,1,0.000833333333333353
"C2_N500_g08_09",500,0.8,0.9,"outcome",19,0.694971394158386,0.432508368564627,0.869348318087585,0.8,0.765,0.690755796446853,0.392797350626625,0.904321694849961,0.8,0.755,0,0,8.126,0.792,350,150,0,-0.00421559771153268
"C2_N500_g08_09",500,0.8,0.9,"treatment",20,0.768327067669173,1.0281135936845,-0.317050142950594,0.718518518518519,0.683333333333333,0.762218045112782,0.887154093613989,-0.162668480137699,0.718518518518519,0.683333333333333,1,1,7.482,0.788,350,150,0,-0.00610902255639101
"C2_N500_g08_09",500,0.8,0.9,"outcome",21,0.823888888888889,0.930538828420072,0.0266920382340366,0.778518518518519,0.751666666666667,0.815,0.881058645917241,0.0173200330082049,0.779259259259259,0.755,1,1,7.708,0.822,350,150,0,-0.00888888888888895
